t,x,y
,,
0.000000E0,-1.092564E2,-1.160546E2
1.000000E-1,-2.767830E1,-5.195751E1
2.000000E-1,6.555387E1,9.226100E0
3.000000E-1,6.166920E1,-1.306222E2
4.000000E-1,-7.623672E1,-1.471320E2
5.000000E-1,-2.005463E2,4.855842E-1
6.000000E-1,-1.228528E2,1.714112E2
7.000000E-1,2.962064E1,2.015175E2
8.000000E-1,1.762671E2,1.267375E2
9.000000E-1,-3.738998E1,-2.170561E2
